1,2,3,4,5,6,7,8,loc_id
2020,5212,504,10,65,"4,950 (95%)",262 (5%),,11000001
2019,6493,,13,65,,,,11000001
2018,55582,,,,,,,11000001
2017,5488,,10,65,,,,11000001
2016,5300,,,,"5,168 (98%)",131 (2%),,11000001
2015,4837,,10,65,,,,11000001
2014,4964,,10,65,,,,11000001
2013,4495,,8,65,,,,11000001
2012,4450,,9,65,,,,11000001
2011,4970,,9,65,,,,11000001
2010,4850,,,,,,,11000001
2009,50712,,,,,,,11000001
2008,4904,,9,65,,,,11000001
2007,4765,,9,65,,,,11000001
2006,4812,,9,65,,,,11000001
2005,49892,,,,,,,11000001
2004,4844,,9,65,,,,11000001
2003,4642,,9,65,,,,11000001
2002,42042,,,,,,,11000001
2001,4355,,,,,,,11000001
2000,4341,,,,,,,11000001
1999,4255,,,,,,,11000001
1998,3463,,,,,,,11000001
1997,3553,,,,,,,11000001
1996,3585,,,,,,,11000001
1995,3678,,,,,,,11000001
1994,2549,,,,,,,11000001
1993,2685,,,,,,,11000001
1992,3305,,,,,,,11000001
1991,2570,,,,,,,11000001
1990,3549,,,,,,,11000001
1989,3014,,,,,,,11000001
1988,2876,,,,,,,11000001
1987,2817,,,,,,,11000001
1986,2843,,,,,,,11000001
1985,2349,,,,,,,11000001
2020,8988,148,16,100,,,,11000001R
2019,2171,,9,100,,,,11000001R
2018,1743,,9,100,,,,11000001R
2017,2469,,8,100,,,,11000001R
2016,1647,,8,100,,,,11000001R
2015,1575,,8,100,,,,11000001R
2014,2098,,7,100,,,,11000001R
2013,1578,,10,100,,,,11000001R
2012,5296,,12,100,,,,11000001R
2011,1499,,8,100,,,,11000001R
2010,2005,,8,100,,,,11000001R
2009,1580,,9,100,,,,11000001R
2008,2273,,9,100,,,,11000001R
2007,3113,,9,100,,,,11000001R
2020,69368,655,9,100,,,,11000002R
2019,5350,,13,100,,,,11000002R
2018,4656,,13,100,,,,11000002R
2017,4911,,13,100,,,,11000002R
2016,4441,,13,100,,,,11000002R
2015,4306,,13,100,,,,11000002R
2014,4550,,,,,,,11000002R
2013,4512,,14,100,,,,11000002R
2012,2478,,8,100,,,,11000002R
2011,4536,,14,100,,,,11000002R
2010,4492,,14,100,,,,11000002R
2009,4474,,14,100,,,,11000002R
2008,4868,,14,100,,,,11000002R
2007,4927,,14,100,,,,11000002R
2020,4705,483,10,65,"4,346 (92%)",359 (8%),,11000003
2019,4931,,11,65,,,,11000003
2018,3717,,9,65,,,,11000003
2017,3466,,9,65,,,,11000003
2016,37282,,,,,,,11000003
2015,3696,,9,65,,,,11000003
2014,3757,,11,65,,,,11000003
2013,3490,,9,65,,,,11000003
2012,3313,,9,65,,,,11000003
2011,3450,,8,65,,,,11000003
2010,3485,,9,65,,,,11000003
2009,3438,,9,65,,,,11000003
2008,3212,,9,65,,,,11000003
2007,3361,,10,65,,,,11000003
2006,3811,,10,65,,,,11000003
2005,3915,,9,65,,,,11000003
2004,40102,,,,,,,11000003
2003,3655,,9,65,,,,11000003
2002,3724,,,,,,,11000003
2001,3853,,,,,,,11000003
2000,37972,,,,,,,11000003
1999,3708,,,,,,,11000003
1998,3125,,,,,,,11000003
1997,3480,,,,,,,11000003
1996,3594,,,,,,,11000003
1995,3415,,,,,,,11000003
1994,2537,,,,,,,11000003
1993,2734,,,,,,,11000003
1992,2743,,,,,,,11000003
1991,2526,,,,,,,11000003
1990,2580,,,,,,,11000003
1989,2786,,,,,,,11000003
1988,2593,,,,,,,11000003
1987,2323,,,,,,,11000003
1986,2160,,,,,,,11000003
1985,2135,,,,,,,11000003
2020,75088,715,10,100,,,,11000003R
2019,6391,,12,100,,,,11000003R
2018,5117,,11,100,,,,11000003R
2017,5304,,13,100,,,,11000003R
2016,4987,,12,100,,,,11000003R
2015,4792,,12,100,,,,11000003R
2014,4858,,14,100,,,,11000003R
2013,4920,,13,100,,,,11000003R
2012,5611,,8,100,,,,11000003R
2011,5732,,14,100,,,,11000003R
2010,5354,,11,100,,,,11000003R
2009,5096,,13,100,,,,11000003R
2008,5598,,13,100,,,,11000003R
2007,5590,,13,100,,,,11000003R
2020,545,54,10,65,524 (96%),21 (4%),,11000004
2019,581,,12,65,,,,11000004
2018,580,,10,65,,,,11000004
2017,5922,,,,,,,11000004
2016,5732,,,,,,,11000004
2015,548,,11,65,,,,11000004
2014,429,,10,65,,,,11000004
2013,503,,9,65,,,,11000004
2012,499,,12,65,,,,11000004
2011,520,,9,65,,,,11000004
2010,502,,9,65,,,,11000004
2009,5232,,,,,,,11000004
2008,526,,9,65,,,,11000004
2007,564,,10,65,,,,11000004
2006,481,,11,65,,,,11000004
2005,467,,10,65,,,,11000004
2004,504,,12,65,,,,11000004
2003,5162,,,,,,,11000004
2002,5212,,,,,,,11000004
2001,5032,,,,,,,11000004
2000,456,,,,,,,11000004
1999,444,,,,,,,11000004
1998,393,,,,,,,11000004
1997,4302,,,,,,,11000004
1996,420,,,,,,,11000004
1995,446,,,,,,,11000004
1994,291,,,,,,,11000004
1993,3102,,,,,,,11000004
1992,306,,,,,,,11000004
1991,292,,,,,,,11000004
1990,356,,,,,,,11000004
1989,314,,,,,,,11000004
1988,324,,,,,,,11000004
1987,206,,,,,,,11000004
1986,207,,,,,,,11000004
1985,240,,,,,,,11000004
2020,16328,232,14,100,,,,11000004R
2019,3111,,8,100,,,,11000004R
2018,2334,,9,100,,,,11000004R
2017,2450,,9,100,,,,11000004R
2016,2359,,7,100,,,,11000004R
2015,2101,,9,100,,,,11000004R
2014,2413,,8,100,,,,11000004R
2013,2240,,8,100,,,,11000004R
2012,4393,,13,100,,,,11000004R
2011,2500,,8,100,,,,11000004R
2010,2677,,7,100,,,,11000004R
2009,2411,,8,100,,,,11000004R
2008,2553,,8,100,,,,11000004R
2007,2479,,8,100,,,,11000004R
2020,4215,442,10,65,"4,063 (96%)",152 (4%),,11000005
2019,4029,,12,65,,,,11000005
2018,4191,,11,65,,,,11000005
2017,3769,,10,65,,,,11000005
2016,36052,,,,,,,11000005
2015,3523,,10,65,,,,11000005
2014,3547,,11,65,,,,11000005
2013,3506,,10,65,,,,11000005
2012,3283,,10,65,,,,11000005
2011,3142,,,,,,,11000005
2010,3050,,,,,,,11000005
2009,2980,,11,65,,,,11000005
2008,2796,,9,65,,,,11000005
2007,27732,,,,,,,11000005
2006,2692,,12,65,,,,11000005
2005,2405,,9,65,,,,11000005
2004,37262,,,,,,,11000005
2003,3821,,11,65,,,,11000005
2002,33082,,,,,,,11000005
2001,3165,,,,,,,11000005
2000,32772,,,,,,,11000005
1999,3182,,,,,,,11000005
1998,27202,,,,,,,11000005
1997,2713,,,,,,,11000005
1996,2103,,,,,,,11000005
1995,1800,,,,,,,11000005
1994,1504,,,,,,,11000005
1993,1365,,,,,,,11000005
1992,1386,,,,,,,11000005
1991,891,,,,,,,11000005
1990,1138,,,,,,,11000005
1989,1005,,,,,,,11000005
1988,1210,,,,,,,11000005
1987,743,,,,,,,11000005
1986,779,,,,,,,11000005
1985,747,,,,,,,11000005
2020,30338,301,10,100,,,,11000005R
2019,2011,,13,100,,,,11000005R
2018,2358,,13,100,,,,11000005R
2017,1586,,13,100,,,,11000005R
2016,1724,,13,100,,,,11000005R
2015,1761,,12,100,,,,11000005R
2014,1311,,13,100,,,,11000005R
2013,1127,,14,100,,,,11000005R
2012,1113,,13,100,,,,11000005R
2011,1115,,12,100,,,,11000005R
2010,978,,14,100,,,,11000005R
2009,2644,,13,100,,,,11000005R
2008,1065,,13,100,,,,11000005R
2007,1145,,13,100,,,,11000005R
2020,16358,1683,10,55,"15,117 (92%)","1,241 (8%)",,11000006
2019,15753,,10,55,,,,11000006
2018,16008,,8,56,,,,11000006
2017,141902,,,,,,,11000006
2016,14050,,8,56,,,,11000006
2015,13384,,8,58,,,,11000006
2014,13020,,8,63,,,,11000006
2013,13033,,8,58,,,,11000006
2012,12961,,8,60,,,,11000006
2011,13432,,8,60,,,,11000006
2010,12748,,8,61,,,,11000006
2009,13148,,9,65,,,,11000006
2008,13363,,9,59,,,,11000006
2007,13659,,9,63,,,,11000006
2006,12595,,10,64,,,,11000006
2005,14058,,9,66,,,,11000006
2004,12821,,9,63,,,,11000006
2003,11952,,9,68,,,,11000006
2002,11742,,,,,,,11000006
2001,13057,,,,,,,11000006
2000,10073,,,,,,,11000006
1999,9908,,,,,,,11000006
1998,9791,,,,,,,11000006
1997,9432,,,,,,,11000006
1996,8875,,,,,,,11000006
1995,7850,,,,,,,11000006
1994,7761,,,,,,,11000006
1993,7033,,,,,,,11000006
1992,6598,,,,,,,11000006
1991,6480,,,,,,,11000006
1990,7172,,,,,,,11000006
1989,6468,,,,,,,11000006
1988,5995,,,,,,,11000006
1987,5553,,,,,,,11000006
1986,4882,,,,,,,11000006
1985,5409,,,,,,,11000006
